mcsteps,1,2,3,4,5,6,7,8,9,10,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
690000,2957.0,4.0,5.0,126.0,5.0,0.0,17.0,4.0,185.0,89.0,9.2603605e-09,2.7790976e-11,5.7727824e-12,8.443397e-13,3.377764e-11,8.865674e-11,1.6845882e-09,1.5258027e-10,8.488389e-11,1.8041284e-11,5.552743e-10,3.2934702e-10
700000,2956.0,12.0,68.0,135.0,7.0,0.0,49.0,4.0,184.0,93.0,9.339656e-09,2.6556495e-11,3.818441e-12,4.5893064e-13,3.056181e-11,9.343389e-11,1.7048751e-09,1.4509789e-10,1.4695056e-11,5.16069e-12,5.880444e-10,3.4817468e-10
710000,2956.0,12.0,47.0,135.0,7.0,0.0,49.0,12.0,193.0,93.0,9.4225845e-09,2.7125762e-11,3.8291263e-12,4.589728e-13,3.3558163e-11,9.088246e-11,1.7364923e-09,1.4955297e-10,1.3943466e-11,4.819424e-12,6.425188e-10,3.3043723e-10
720000,2956.0,11.0,31.0,131.0,7.0,0.0,56.0,5.0,201.0,97.0,9.5279e-09,2.811037e-11,3.7234343e-12,4.4782976e-13,3.5423192e-11,9.240503e-11,1.7346539e-09,1.6082713e-10,1.342804e-11,4.84961e-12,6.9293465e-10,3.3431877e-10
730000,2956.0,11.0,25.0,130.0,6.0,0.0,45.0,12.0,199.0,98.0,9.610496e-09,2.8998394e-11,5.1741727e-12,7.243045e-13,3.9361882e-11,9.8073924e-11,1.7581754e-09,1.6695431e-10,6.9906234e-11,1.4897748e-11,7.45875e-10,3.5213069e-10
740000,2956.0,9.0,18.0,130.0,5.0,0.0,34.0,10.0,218.0,98.0,9.705263e-09,2.8688383e-11,3.699797e-12,4.2638655e-13,3.8935657e-11,9.682969e-11,1.7652874e-09,1.6613237e-10,1.3079964e-11,4.42694e-12,7.90389e-10,3.4146064e-10
750000,2956.0,8.0,13.0,130.0,5.0,0.0,28.0,7.0,220.0,98.0,9.798523e-09,2.7018644e-11,5.0729984e-12,7.498253e-13,2.7989017e-11,9.751455e-11,1.7820528e-09,1.2245627e-10,7.001819e-11,1.499806e-11,2.5059937e-10,3.388744e-10
760000,2956.0,5.0,9.0,127.0,7.0,0.0,27.0,1.0,231.0,101.0,9.9012585e-09,2.6352568e-11,4.901323e-12,6.771207e-13,2.6983653e-11,9.808005e-11,1.776264e-09,1.1532131e-10,6.9399715e-11,1.478749e-11,2.439661e-10,3.335955e-10
770000,2956.0,4.0,6.0,127.0,6.0,0.0,20.0,2.0,227.0,101.0,9.987477e-09,2.573458e-11,4.3023267e-12,5.563933e-13,2.7468958e-11,1.08137874e-10,1.7956502e-09,1.07181805e-10,4.978388e-11,1.08989935e-11,2.43358e-10,3.6932404e-10
780000,2956.0,2.0,3.0,125.0,6.0,0.0,16.0,4.0,232.0,103.0,1.0082015e-08,2.5267047e-11,3.6850306e-12,4.3035408e-13,2.6412785e-11,1.0702752e-10,1.8056466e-09,1.0015839e-10,1.29947815e-11,4.168289e-12,2.345549e-10,3.61647e-10
